record_id,date,state,city,monitoring_station,pm2_5_ugm3,pm10_ugm3,no2_ugm3,so2_ugm3,co_mgm3,o3_ugm3,nh3_ugm3,aqi,aqi_category,dominant_pollutant,health_advisory,temperature_c,humidity_pct,wind_speed_kmph,monitoring_agency
22533,2017-04-01,West Bengal,Asansol,Asansol Court Area,56.4,107.0,38.1,17.7,2.62,72.3,16.8,98,Satisfactory,PM10,Minor breathing discomfort to sensitive people,31.5,50.4,3.5,State Pollution Control Board
22534,2017-04-01,West Bengal,Asansol,Asansol Court Area,66.4,139.5,74.2,4.6,0.87,300.2,32.2,121,Moderate,PM2.5,"Breathing discomfort to people with lung/heart disease, children, older adults",31.6,30.8,2.4,State Pollution Control Board
22535,2017-04-01,West Bengal,Asansol,Asansol Court Area,67.1,108.0,19.8,3.7,0.51,165.7,11.2,124,Moderate,PM2.5,"Breathing discomfort to people with lung/heart disease, children, older adults",30.7,66.2,6.0,State Pollution Control Board
22536,2017-04-01,West Bengal,Howrah,Howrah Ghusuri,94.0,166.4,12.7,13.0,0.92,8.0,21.8,213,Poor,PM2.5,Breathing discomfort on prolonged exposure,31.0,73.5,9.8,State Pollution Control Board
22537,2017-04-02,Bihar,Gaya,Gaya Collectorate,77.5,153.2,23.8,2.5,0.59,46.1,29.3,163,Moderate,PM10,"Breathing discomfort to people with lung/heart disease, children, older adults",29.5,66.7,7.3,State Pollution Control Board
22538,2017-04-02,Bihar,Muzaffarpur,Muzaffarpur Collectorate,118.2,182.8,33.9,3.7,0.54,52.4,11.5,295,Poor,PM10,Breathing discomfort on prolonged exposure,28.0,47.3,11.4,CPCB
22539,2017-04-02,Chhattisgarh,Raipur,Raipur Telibandha,61.1,101.9,72.7,2.2,0.78,112.1,16.4,104,Moderate,PM2.5,"Breathing discomfort to people with lung/heart disease, children, older adults",31.0,66.3,18.1,CPCB
22540,2017-04-02,Goa,Panaji,Panaji Bus Stand,37.2,70.4,17.0,8.9,0.23,123.8,35.2,62,Satisfactory,PM2.5,Minor breathing discomfort to sensitive people,34.1,64.2,18.6,State Pollution Control Board
22541,2017-04-02,Goa,Panaji,Panaji Bus Stand,9.1,19.8,13.2,3.1,2.26,31.0,25.7,16,Good,PM10,Minimal impact,34.0,50.1,1.6,CPCB
22542,2017-04-02,Gujarat,Ahmedabad,Maninagar,45.3,84.4,16.2,37.9,0.84,38.5,15.1,76,Satisfactory,PM2.5,Minor breathing discomfort to sensitive people,29.9,52.6,10.5,CPCB
22543,2017-04-02,Jharkhand,Jamshedpur,Jamshedpur Sakchi,69.5,111.5,69.5,22.3,3.47,53.0,24.4,132,Moderate,PM2.5,"Breathing discomfort to people with lung/heart disease, children, older adults",25.2,85.2,11.5,CPCB
22544,2017-04-02,Karnataka,Mysuru,Mysuru Hebbal,111.1,220.2,23.9,22.3,0.42,226.2,31.4,274,Poor,PM10,Breathing discomfort on prolonged exposure,19.4,38.5,5.2,CPCB
22545,2017-04-02,Karnataka,Mysuru,Mysuru Hebbal,48.2,100.4,44.1,9.4,0.43,33.9,8.2,80,Satisfactory,PM2.5,Minor breathing discomfort to sensitive people,34.0,52.4,10.5,CPCB
22546,2017-04-02,Kerala,Thiruvananthapuram,TVM Kariavattom,24.2,42.8,18.9,3.9,0.22,52.4,12.6,40,Good,PM2.5,Minimal impact,35.7,50.2,5.0,State Pollution Control Board
22547,2017-04-02,Maharashtra,Mumbai,Colaba,24.0,41.6,17.5,26.1,1.95,79.2,54.8,40,Good,PM2.5,Minimal impact,35.7,50.2,4.1,SAFAR
22548,2017-04-02,Maharashtra,Nagpur,Nagpur Civil Lines,55.6,110.9,30.9,7.0,1.0,56.5,12.3,97,Satisfactory,PM10,Minor breathing discomfort to sensitive people,29.1,42.5,29.3,CPCB
22549,2017-04-02,Punjab,Jalandhar,Jalandhar Sports Colony,56.5,85.0,37.4,8.5,0.32,50.9,33.8,94,Satisfactory,PM2.5,Minor breathing discomfort to sensitive people,34.2,53.5,9.4,CPCB
22550,2017-04-02,Rajasthan,Kota,Kota Vigyan Nagar,62.1,134.8,32.2,9.0,0.72,28.8,24.4,107,Moderate,PM2.5,"Breathing discomfort to people with lung/heart disease, children, older adults",32.6,67.8,8.3,State Pollution Control Board
22551,2017-04-02,Tamil Nadu,Madurai,Madurai Anna Bus Stand,12.7,20.2,5.1,10.9,1.31,79.4,46.7,21,Good,PM2.5,Minimal impact,32.8,49.3,6.2,SAFAR
22552,2017-04-02,Tamil Nadu,Madurai,Madurai Anna Bus Stand,33.0,68.2,13.7,4.6,0.66,71.0,70.7,55,Satisfactory,PM2.5,Minor breathing discomfort to sensitive people,30.3,49.6,9.2,SAFAR
22553,2017-04-02,Telangana,Hyderabad,Bollaram Industrial Area,54.8,94.8,2.7,9.0,1.06,23.2,39.9,91,Satisfactory,PM2.5,Minor breathing discomfort to sensitive people,37.2,38.7,13.2,State Pollution Control Board
22554,2017-04-02,Telangana,Hyderabad,Bollaram Industrial Area,59.5,116.0,54.8,12.4,1.1,114.7,60.1,99,Satisfactory,PM2.5,Minor breathing discomfort to sensitive people,35.4,56.6,6.7,SAFAR
22555,2017-04-02,Uttar Pradesh,Ghaziabad,Sanjay Nagar,131.5,286.6,24.4,13.9,4.72,178.8,74.2,317,Very Poor,PM10,Respiratory illness on prolonged exposure,30.7,66.6,4.5,State Pollution Control Board
22556,2017-04-02,Uttar Pradesh,Ghaziabad,Sanjay Nagar,50.8,80.9,44.9,21.9,1.17,48.7,29.5,85,Satisfactory,PM2.5,Minor breathing discomfort to sensitive people,36.8,90.4,6.6,State Pollution Control Board
22557,2017-04-02,Uttar Pradesh,Kanpur,Nehru Nagar,101.9,202.7,56.7,11.9,1.12,44.0,20.0,240,Poor,PM2.5,Breathing discomfort on prolonged exposure,32.5,65.7,7.2,CPCB
22558,2017-04-02,Uttar Pradesh,Meerut,Meerut Jaibheem Nagar,115.2,247.4,41.4,9.9,0.5,43.9,2.9,295,Poor,PM10,Breathing discomfort on prolonged exposure,29.8,43.9,17.5,State Pollution Control Board
22559,2017-04-02,Uttar Pradesh,Noida,Noida Sector 62,101.5,217.9,73.9,27.4,2.36,39.0,23.7,238,Poor,PM2.5,Breathing discomfort on prolonged exposure,41.7,46.1,12.0,State Pollution Control Board
22560,2017-04-03,Assam,Guwahati,Guwahati Railway Colony,58.4,121.5,15.4,2.6,2.55,35.3,24.6,97,Satisfactory,PM2.5,Minor breathing discomfort to sensitive people,27.6,39.5,7.8,CPCB
22561,2017-04-03,Bihar,Patna,Rajbansi Nagar,73.8,120.4,26.3,9.9,0.54,121.1,28.7,146,Moderate,PM2.5,"Breathing discomfort to people with lung/heart disease, children, older adults",28.1,62.1,9.8,CPCB
22562,2017-04-03,Chandigarh,Chandigarh,Sector 22,70.3,139.4,10.0,6.4,1.76,48.2,57.6,134,Moderate,PM2.5,"Breathing discomfort to people with lung/heart disease, children, older adults",31.7,58.7,3.9,CPCB
22563,2017-04-03,Delhi,Delhi,Dwarka Sector 8,70.7,116.2,43.3,4.1,0.47,124.0,40.9,136,Moderate,PM2.5,"Breathing discomfort to people with lung/heart disease, children, older adults",33.0,29.6,12.0,CPCB
22564,2017-04-03,Delhi,Delhi,Dwarka Sector 8,124.6,187.2,61.0,5.7,3.31,65.4,39.0,304,Very Poor,PM2.5,Respiratory illness on prolonged exposure,33.7,45.5,6.2,State Pollution Control Board
22565,2017-04-03,Delhi,Delhi,R K Puram,16.8,26.1,17.3,6.6,1.91,82.8,13.8,28,Good,PM2.5,Minimal impact,32.1,42.2,5.6,State Pollution Control Board
22566,2017-04-03,Jammu and Kashmir,Srinagar,Srinagar Rajbagh,16.1,29.4,10.4,4.5,0.39,22.0,17.9,27,Good,PM2.5,Minimal impact,39.1,60.7,5.9,CPCB
22567,2017-04-03,Jammu and Kashmir,Srinagar,Srinagar Rajbagh,43.1,93.8,23.8,10.2,0.33,242.9,38.9,72,Satisfactory,PM2.5,Minor breathing discomfort to sensitive people,35.2,43.0,7.6,SAFAR
22568,2017-04-03,Karnataka,Bengaluru,BTM Layout,17.3,34.1,6.7,7.4,1.64,47.0,17.9,29,Good,PM2.5,Minimal impact,35.1,29.8,5.8,State Pollution Control Board
22569,2017-04-03,Maharashtra,Pune,Pune Bhosari,61.1,127.9,7.3,17.4,2.0,99.7,13.3,104,Moderate,PM2.5,"Breathing discomfort to people with lung/heart disease, children, older adults",28.6,42.0,0.9,SAFAR
22570,2017-04-03,Maharashtra,Pune,Pune Bhosari,94.1,174.4,34.9,2.9,1.52,86.1,23.4,214,Poor,PM2.5,Breathing discomfort on prolonged exposure,26.4,47.1,3.7,State Pollution Control Board
22571,2017-04-03,Odisha,Bhubaneswar,Bhubaneswar Capital Hospital,81.6,173.3,9.4,15.0,1.79,34.6,40.3,172,Moderate,PM2.5,"Breathing discomfort to people with lung/heart disease, children, older adults",32.5,60.0,22.0,SAFAR
22572,2017-04-03,Punjab,Amritsar,Amritsar Golden Gate,33.7,71.7,11.0,6.6,0.93,186.3,51.4,56,Satisfactory,PM2.5,Minor breathing discomfort to sensitive people,33.5,57.2,5.1,State Pollution Control Board
22573,2017-04-03,Rajasthan,Jaipur,Adarsh Nagar,107.2,166.7,30.6,19.1,2.21,50.0,42.1,257,Poor,PM2.5,Breathing discomfort on prolonged exposure,33.7,51.6,0.9,State Pollution Control Board
22574,2017-04-03,Tamil Nadu,Chennai,Alandur Bus Depot,45.1,86.9,26.7,9.1,0.63,152.2,37.8,77,Satisfactory,PM10,Minor breathing discomfort to sensitive people,32.2,43.2,6.7,CPCB
22575,2017-04-03,Tamil Nadu,Chennai,Alandur Bus Depot,26.9,45.7,10.9,6.7,1.21,73.6,67.2,45,Good,PM2.5,Minimal impact,30.6,43.4,10.8,State Pollution Control Board
22576,2017-04-03,Tamil Nadu,Chennai,Alandur Bus Depot,22.2,48.6,32.0,14.9,0.8,59.9,26.1,39,Good,NO2,Minimal impact,27.7,26.8,2.9,SAFAR
22577,2017-04-03,Tamil Nadu,Coimbatore,Coimbatore Collectorate,60.5,96.5,31.7,2.7,0.65,150.6,9.1,102,Moderate,PM2.5,"Breathing discomfort to people with lung/heart disease, children, older adults",40.6,77.6,3.3,State Pollution Control Board
22578,2017-04-03,Tamil Nadu,Coimbatore,Coimbatore Collectorate,27.4,54.2,14.0,2.2,1.85,24.9,15.5,46,Good,PM2.5,Minimal impact,34.2,49.2,13.2,State Pollution Control Board
22579,2017-04-03,Tamil Nadu,Madurai,Madurai Anna Bus Stand,37.9,59.0,33.3,4.1,0.24,72.5,14.1,65,Satisfactory,PM10,Minor breathing discomfort to sensitive people,42.2,74.1,2.7,State Pollution Control Board
22580,2017-04-03,Tamil Nadu,Madurai,Madurai Anna Bus Stand,51.3,97.0,8.3,6.5,0.2,82.8,7.4,88,Satisfactory,PM10,Minor breathing discomfort to sensitive people,29.7,65.9,1.4,SAFAR
22581,2017-04-03,Telangana,Hyderabad,Sanathnagar,88.0,147.2,32.0,5.7,0.97,83.3,76.2,200,Moderate,PM10,"Breathing discomfort to people with lung/heart disease, children, older adults",30.1,41.5,11.0,State Pollution Control Board
22582,2017-04-03,Uttar Pradesh,Ghaziabad,Sanjay Nagar,19.8,35.9,24.5,11.5,0.82,93.0,26.8,33,Good,PM2.5,Minimal impact,29.4,50.7,5.2,State Pollution Control Board
22583,2017-04-03,Uttar Pradesh,Ghaziabad,Sanjay Nagar,35.7,76.4,13.8,16.9,0.85,27.7,28.4,61,Satisfactory,PM10,Minor breathing discomfort to sensitive people,29.5,53.1,10.2,CPCB
22584,2017-04-03,Uttar Pradesh,Lucknow,Lalbagh,26.7,45.5,64.4,5.0,2.71,137.6,21.6,81,Satisfactory,NO2,Minor breathing discomfort to sensitive people,36.5,65.7,5.9,State Pollution Control Board
22585,2017-04-03,Uttar Pradesh,Lucknow,Lalbagh,115.8,185.4,40.6,4.1,1.27,46.0,35.9,298,Poor,PM10,Breathing discomfort on prolonged exposure,27.1,52.8,6.8,CPCB
22586,2017-04-03,Uttar Pradesh,Lucknow,Lalbagh,132.9,221.1,16.6,12.8,0.89,73.2,66.6,310,Very Poor,PM2.5,Respiratory illness on prolonged exposure,34.8,30.7,1.4,SAFAR
22587,2017-04-03,Uttar Pradesh,Lucknow,Lalbagh,117.4,199.3,9.9,3.0,0.92,90.3,38.9,291,Poor,PM2.5,Breathing discomfort on prolonged exposure,36.8,74.7,0.8,CPCB
22588,2017-04-03,Uttar Pradesh,Meerut,Meerut Jaibheem Nagar,71.0,144.3,18.1,9.7,0.53,51.3,14.9,137,Moderate,PM2.5,"Breathing discomfort to people with lung/heart disease, children, older adults",36.8,47.9,5.7,CPCB
22589,2017-04-03,Uttar Pradesh,Noida,Noida Sector 62,295.1,516.9,49.6,24.2,1.14,115.9,78.9,417,Severe,PM2.5,"Affects healthy people, serious impact on those with existing diseases",27.0,61.5,23.1,CPCB
22590,2017-04-03,Uttar Pradesh,Noida,Noida Sector 62,63.3,116.3,46.1,10.2,1.31,154.1,3.4,111,Moderate,PM2.5,"Breathing discomfort to people with lung/heart disease, children, older adults",29.7,19.7,3.9,CPCB
22591,2017-04-03,Uttar Pradesh,Varanasi,Ardhali Bazar,98.5,154.2,20.6,13.4,0.82,112.0,6.0,228,Poor,PM2.5,Breathing discomfort on prolonged exposure,34.5,54.4,17.4,State Pollution Control Board
22592,2017-04-03,Uttar Pradesh,Varanasi,Ardhali Bazar,97.2,164.8,17.0,3.5,0.33,172.3,21.4,224,Poor,PM2.5,Breathing discomfort on prolonged exposure,36.1,69.8,14.1,State Pollution Control Board
22593,2017-04-03,Uttar Pradesh,Varanasi,Ardhali Bazar,63.7,114.8,40.9,11.5,1.13,108.9,27.6,112,Moderate,PM2.5,"Breathing discomfort to people with lung/heart disease, children, older adults",27.8,49.2,15.2,CPCB
22594,2017-04-03,Uttarakhand,Dehradun,Dehradun ISBT,50.4,80.7,19.8,12.2,0.25,126.1,25.2,84,Satisfactory,PM2.5,Minor breathing discomfort to sensitive people,32.9,64.4,5.5,SAFAR
22595,2017-04-03,West Bengal,Asansol,Asansol Court Area,68.5,107.8,31.8,3.5,2.37,89.7,8.8,128,Moderate,PM2.5,"Breathing discomfort to people with lung/heart disease, children, older adults",29.1,64.9,7.3,State Pollution Control Board
22596,2017-04-03,West Bengal,Asansol,Asansol Court Area,24.0,51.2,39.7,8.6,1.32,63.9,96.3,40,Good,PM2.5,Minimal impact,33.1,59.2,10.8,SAFAR
22597,2017-04-03,West Bengal,Kolkata,Rabindra Bharati University,69.5,121.1,21.4,12.7,1.3,76.2,12.7,132,Moderate,PM2.5,"Breathing discomfort to people with lung/heart disease, children, older adults",25.2,59.9,9.5,State Pollution Control Board
22598,2017-04-03,West Bengal,Kolkata,Rabindra Bharati University,113.0,178.5,26.1,18.1,0.54,49.1,14.9,277,Poor,PM2.5,Breathing discomfort on prolonged exposure,34.9,46.6,1.5,CPCB
22599,2017-04-04,Andhra Pradesh,Visakhapatnam,GVM Corporation,41.4,67.3,22.3,12.7,0.2,62.0,4.7,69,Satisfactory,PM2.5,Minor breathing discomfort to sensitive people,33.1,65.9,0.9,State Pollution Control Board
22600,2017-04-04,Assam,Guwahati,Guwahati Railway Colony,29.7,57.9,37.0,13.5,0.2,53.2,55.8,50,Good,PM2.5,Minimal impact,34.1,92.9,6.5,State Pollution Control Board
22601,2017-04-04,Bihar,Gaya,Gaya Collectorate,82.3,172.0,20.6,6.0,1.49,63.2,68.4,174,Moderate,PM2.5,"Breathing discomfort to people with lung/heart disease, children, older adults",29.0,53.2,15.2,State Pollution Control Board
22602,2017-04-04,Bihar,Patna,Rajbansi Nagar,115.3,209.5,44.4,39.3,3.29,65.6,25.6,284,Poor,PM2.5,Breathing discomfort on prolonged exposure,31.2,50.8,8.9,CPCB
22603,2017-04-04,Delhi,Delhi,ITO,49.0,106.8,38.7,9.3,3.21,59.2,69.0,86,Satisfactory,PM10,Minor breathing discomfort to sensitive people,25.5,44.0,11.1,State Pollution Control Board
22604,2017-04-04,Delhi,Delhi,Dwarka Sector 8,84.4,166.2,19.2,24.9,0.81,99.4,39.6,181,Moderate,PM2.5,"Breathing discomfort to people with lung/heart disease, children, older adults",33.2,63.6,2.2,CPCB
22605,2017-04-04,Goa,Panaji,Panaji Bus Stand,32.4,53.7,4.9,7.5,0.44,17.1,21.8,54,Satisfactory,PM2.5,Minor breathing discomfort to sensitive people,30.6,73.0,11.6,State Pollution Control Board
22606,2017-04-04,Goa,Panaji,Panaji Bus Stand,50.2,84.9,22.1,9.3,0.92,33.5,8.5,86,Satisfactory,PM10,Minor breathing discomfort to sensitive people,38.8,35.1,9.3,CPCB
22607,2017-04-04,Haryana,Faridabad,Faridabad Sector 16A,88.0,188.8,38.3,6.9,0.56,27.5,81.4,201,Poor,PM10,Breathing discomfort on prolonged exposure,30.6,58.4,2.5,CPCB
22608,2017-04-04,Himachal Pradesh,Shimla,Shimla US Club,36.8,64.6,22.9,9.9,1.89,46.1,8.6,61,Satisfactory,PM2.5,Minor breathing discomfort to sensitive people,37.8,36.3,4.5,CPCB
22609,2017-04-04,Himachal Pradesh,Shimla,Shimla US Club,12.4,26.3,36.2,13.7,0.2,121.7,15.9,38,Good,NO2,Minimal impact,29.7,61.7,7.8,State Pollution Control Board
22610,2017-04-04,Jharkhand,Ranchi,Ranchi Circular Road,32.1,69.8,39.5,1.0,0.46,28.2,7.0,56,Satisfactory,PM10,Minor breathing discomfort to sensitive people,31.1,59.5,19.5,CPCB
22611,2017-04-04,Karnataka,Bengaluru,BTM Layout,26.6,55.0,12.3,5.8,2.31,36.3,29.7,46,Good,PM10,Minimal impact,29.4,71.3,3.2,CPCB
22612,2017-04-04,Karnataka,Mysuru,Mysuru Hebbal,25.1,53.3,18.6,8.7,1.14,79.2,26.9,44,Good,PM10,Minimal impact,32.0,47.9,3.3,State Pollution Control Board
22613,2017-04-04,Karnataka,Mysuru,Mysuru Hebbal,45.1,95.9,48.6,13.5,0.56,74.7,2.7,77,Satisfactory,PM10,Minor breathing discomfort to sensitive people,30.3,54.3,8.4,State Pollution Control Board
22614,2017-04-04,Madhya Pradesh,Indore,Chhoti Gwaltoli,37.6,59.8,29.5,10.6,0.56,40.3,9.4,63,Satisfactory,PM2.5,Minor breathing discomfort to sensitive people,27.5,31.5,6.9,SAFAR
22615,2017-04-04,Odisha,Bhubaneswar,Bhubaneswar Capital Hospital,80.9,170.3,27.7,16.2,1.1,71.2,52.3,173,Moderate,PM10,"Breathing discomfort to people with lung/heart disease, children, older adults",31.6,60.4,16.8,State Pollution Control Board
22616,2017-04-04,Punjab,Amritsar,Amritsar Golden Gate,62.8,125.4,23.4,23.0,1.14,118.7,15.8,109,Moderate,PM2.5,"Breathing discomfort to people with lung/heart disease, children, older adults",27.4,61.6,3.9,CPCB
22617,2017-04-04,Rajasthan,Jaipur,Adarsh Nagar,54.0,94.6,16.0,7.1,0.4,143.2,20.1,90,Satisfactory,PM2.5,Minor breathing discomfort to sensitive people,36.8,65.1,11.2,State Pollution Control Board
22618,2017-04-04,Uttar Pradesh,Agra,Sanjay Palace,59.4,115.2,38.4,12.1,3.02,25.4,1.4,100,Satisfactory,PM10,Minor breathing discomfort to sensitive people,29.4,58.9,7.5,State Pollution Control Board
22619,2017-04-04,Uttar Pradesh,Ghaziabad,Sanjay Nagar,97.5,212.2,73.3,18.6,0.76,70.0,14.9,225,Poor,PM2.5,Breathing discomfort on prolonged exposure,31.0,42.4,1.9,SAFAR
22620,2017-04-04,Uttar Pradesh,Ghaziabad,Sanjay Nagar,114.2,206.1,48.1,7.2,1.13,34.1,16.7,281,Poor,PM2.5,Breathing discomfort on prolonged exposure,32.9,57.1,2.8,State Pollution Control Board
22621,2017-04-04,Uttarakhand,Dehradun,Dehradun ISBT,11.9,20.8,15.6,8.5,1.37,125.8,37.6,20,Good,PM2.5,Minimal impact,29.9,65.9,3.9,SAFAR
22622,2017-04-05,Andhra Pradesh,Visakhapatnam,GVM Corporation,94.3,189.8,27.6,2.5,0.36,36.3,68.2,214,Poor,PM2.5,Breathing discomfort on prolonged exposure,31.5,63.1,4.9,CPCB
22623,2017-04-05,Assam,Guwahati,Guwahati Railway Colony,77.5,121.6,13.7,1.3,0.56,60.6,44.0,158,Moderate,PM2.5,"Breathing discomfort to people with lung/heart disease, children, older adults",31.1,51.6,27.2,State Pollution Control Board
22624,2017-04-05,Assam,Guwahati,Guwahati Railway Colony,45.1,81.4,26.7,7.6,0.51,51.0,44.2,75,Satisfactory,PM2.5,Minor breathing discomfort to sensitive people,24.7,51.3,6.3,State Pollution Control Board
22625,2017-04-05,Bihar,Gaya,Gaya Collectorate,105.6,219.4,9.1,9.9,2.33,96.0,50.5,252,Poor,PM2.5,Breathing discomfort on prolonged exposure,34.8,70.5,4.5,State Pollution Control Board
22626,2017-04-05,Bihar,Gaya,Gaya Collectorate,77.5,163.5,7.5,24.8,2.64,25.6,44.8,164,Moderate,PM10,"Breathing discomfort to people with lung/heart disease, children, older adults",29.5,45.7,1.0,SAFAR
22627,2017-04-05,Bihar,Muzaffarpur,Muzaffarpur Collectorate,111.1,194.3,12.9,11.4,2.01,79.6,15.0,270,Poor,PM2.5,Breathing discomfort on prolonged exposure,26.0,56.2,8.7,State Pollution Control Board
22628,2017-04-05,Delhi,Delhi,ITO,66.0,113.3,39.7,25.8,3.79,49.0,24.5,120,Moderate,PM2.5,"Breathing discomfort to people with lung/heart disease, children, older adults",29.3,49.7,2.6,State Pollution Control Board
22629,2017-04-05,Delhi,Delhi,ITO,70.5,151.1,28.3,21.0,0.45,156.0,5.3,135,Moderate,PM2.5,"Breathing discomfort to people with lung/heart disease, children, older adults",29.6,67.1,3.3,SAFAR
22630,2017-04-05,Delhi,Delhi,Dwarka Sector 8,42.0,79.0,14.1,11.1,1.47,54.5,44.0,70,Satisfactory,PM2.5,Minor breathing discomfort to sensitive people,32.9,54.7,1.8,CPCB
22631,2017-04-05,Gujarat,Surat,Surat Ichchhanath,16.9,34.0,23.4,13.1,1.35,86.2,9.0,28,Good,PM2.5,Minimal impact,25.3,63.0,3.1,CPCB
22632,2017-04-05,Gujarat,Surat,Surat Ichchhanath,65.0,125.8,36.2,14.1,1.28,79.7,7.7,117,Moderate,PM2.5,"Breathing discomfort to people with lung/heart disease, children, older adults",31.4,60.8,6.4,CPCB
22633,2017-04-05,Haryana,Faridabad,Faridabad Sector 16A,43.3,89.0,21.1,17.4,2.15,86.8,12.4,73,Satisfactory,PM10,Minor breathing discomfort to sensitive people,35.3,44.3,12.1,CPCB
22634,2017-04-05,Jammu and Kashmir,Srinagar,Srinagar Rajbagh,21.6,45.9,16.8,15.7,1.13,61.1,10.0,36,Good,PM2.5,Minimal impact,27.9,73.7,4.4,State Pollution Control Board
22635,2017-04-05,Jharkhand,Ranchi,Ranchi Circular Road,20.9,38.4,24.6,8.9,0.78,27.9,3.4,35,Good,PM2.5,Minimal impact,27.0,85.5,6.7,CPCB
22636,2017-04-05,Jharkhand,Ranchi,Ranchi Circular Road,60.2,122.8,11.6,8.7,0.56,126.6,14.0,101,Moderate,PM2.5,"Breathing discomfort to people with lung/heart disease, children, older adults",31.0,46.1,15.1,State Pollution Control Board
22637,2017-04-05,Karnataka,Bengaluru,BTM Layout,57.3,101.3,28.7,11.1,0.94,27.1,34.9,97,Satisfactory,PM10,Minor breathing discomfort to sensitive people,32.9,75.2,9.4,State Pollution Control Board
22638,2017-04-05,Karnataka,Mysuru,Mysuru Hebbal,40.5,61.0,12.3,7.3,0.79,105.6,32.7,68,Satisfactory,PM2.5,Minor breathing discomfort to sensitive people,32.2,31.6,7.2,CPCB
22639,2017-04-05,Kerala,Kochi,Kochi Vyttila,23.6,46.6,18.7,2.2,0.65,19.5,24.8,40,Good,PM10,Minimal impact,22.0,79.0,7.0,SAFAR
22640,2017-04-05,Kerala,Kochi,Kochi Vyttila,49.1,76.9,12.1,7.3,0.58,144.4,8.4,82,Satisfactory,PM2.5,Minor breathing discomfort to sensitive people,25.4,62.5,7.5,CPCB
22641,2017-04-05,Kerala,Thiruvananthapuram,TVM Kariavattom,42.3,69.9,24.5,4.9,0.86,144.3,21.6,71,Satisfactory,PM10,Minor breathing discomfort to sensitive people,37.3,66.5,9.6,State Pollution Control Board
22642,2017-04-05,Maharashtra,Mumbai,Bandra Kurla Complex,56.1,93.1,21.7,10.2,0.33,52.0,28.0,94,Satisfactory,PM2.5,Minor breathing discomfort to sensitive people,32.7,45.4,2.7,CPCB
22643,2017-04-05,Maharashtra,Nagpur,Nagpur Civil Lines,23.7,48.6,9.7,5.1,0.36,42.0,6.5,40,Good,PM2.5,Minimal impact,36.7,49.4,10.4,State Pollution Control Board
22644,2017-04-05,Odisha,Talcher,Talcher Coalfields,162.9,331.1,41.7,16.5,2.03,94.7,15.0,333,Very Poor,PM2.5,Respiratory illness on prolonged exposure,28.1,36.3,6.5,SAFAR
22645,2017-04-05,Rajasthan,Jodhpur,Jodhpur Collectorate,89.7,185.0,28.8,25.3,0.4,102.4,58.7,201,Poor,PM10,Breathing discomfort on prolonged exposure,29.8,42.1,14.6,State Pollution Control Board
22646,2017-04-05,Rajasthan,Jodhpur,Jodhpur Collectorate,69.8,140.3,39.3,18.0,1.04,66.7,23.6,133,Moderate,PM2.5,"Breathing discomfort to people with lung/heart disease, children, older adults",34.2,49.9,3.7,CPCB
22647,2017-04-05,Rajasthan,Kota,Kota Vigyan Nagar,42.7,69.1,62.7,25.1,0.8,32.8,18.0,81,Satisfactory,NO2,Minor breathing discomfort to sensitive people,23.9,39.6,15.1,State Pollution Control Board
22648,2017-04-05,Rajasthan,Kota,Kota Vigyan Nagar,125.7,236.1,15.5,16.8,1.97,102.7,14.4,304,Very Poor,PM2.5,Respiratory illness on prolonged exposure,34.7,52.5,7.0,SAFAR
22649,2017-04-05,Uttar Pradesh,Lucknow,Lalbagh,140.1,272.7,14.2,18.4,0.81,46.2,4.4,315,Very Poor,PM2.5,Respiratory illness on prolonged exposure,42.6,55.1,5.1,CPCB
22650,2017-04-05,Uttar Pradesh,Lucknow,Lalbagh,31.7,61.7,32.6,6.3,1.75,66.7,36.9,53,Satisfactory,PM2.5,Minor breathing discomfort to sensitive people,31.7,31.9,6.5,SAFAR
22651,2017-04-05,Uttar Pradesh,Lucknow,Lalbagh,55.4,91.3,68.6,23.0,2.54,140.0,44.0,92,Satisfactory,PM2.5,Minor breathing discomfort to sensitive people,29.3,67.3,6.4,State Pollution Control Board
22652,2017-04-05,Uttar Pradesh,Noida,Noida Sector 62,147.0,294.2,57.4,7.0,5.56,44.5,37.8,321,Very Poor,PM2.5,Respiratory illness on prolonged exposure,37.7,42.2,13.8,CPCB
22653,2017-04-05,Uttarakhand,Dehradun,Dehradun ISBT,38.6,70.8,17.5,12.0,1.42,74.9,27.4,64,Satisfactory,PM2.5,Minor breathing discomfort to sensitive people,32.6,86.9,17.0,State Pollution Control Board
22654,2017-04-05,Uttarakhand,Dehradun,Dehradun ISBT,38.7,75.3,27.9,12.9,0.55,105.8,22.5,64,Satisfactory,PM2.5,Minor breathing discomfort to sensitive people,29.5,52.1,3.4,CPCB
22655,2017-04-05,West Bengal,Howrah,Howrah Ghusuri,51.4,95.4,32.0,17.7,1.66,94.7,38.6,87,Satisfactory,PM10,Minor breathing discomfort to sensitive people,35.9,67.2,9.8,State Pollution Control Board
22656,2017-04-05,West Bengal,Kolkata,Rabindra Bharati University,44.8,96.6,64.5,18.8,0.2,103.1,20.9,75,Satisfactory,PM2.5,Minor breathing discomfort to sensitive people,35.7,69.3,4.9,CPCB
22657,2017-04-06,Bihar,Muzaffarpur,Muzaffarpur Collectorate,22.4,34.2,7.5,22.0,1.09,34.4,61.3,37,Good,PM2.5,Minimal impact,29.5,64.7,5.5,SAFAR
