Observation_ID,Date,Year,Month,Glacier_Name,Himalayan_Basin_Range,State_or_UT,Elevation_m_asl,Ambient_Air_Temp_C,Ice_Surface_Temp_C,Solar_Irradiance_W_m2,Surface_Albedo,Debris_Cover_Thickness_cm,Daily_Liquefaction_Melt_cm_we,Annual_Terminus_Retreat_m_yr,Net_Annual_Mass_Balance_m_we_yr,Glacial_Lake_Volume_10k_m3,Proglacial_Discharge_m3_s,GLOF_Susceptibility_Class
HIM-GL-MELT-000471,2023-07-12,2023,July,Gangotri Glacier,Bhagirathi Basin / Garhwal,Uttarakhand,3960,9.4,0.0,821.5,0.33,4.7,10.36,25.8,-1.06,458.3,43.7,High Risk
HIM-GL-MELT-000472,2023-05-19,2023,May,Kolhai Glacier,Great Himalaya,Jammu & Kashmir,4085,8.1,0.0,688.2,0.35,9.1,5.91,24.8,-0.85,274.4,26.5,High Risk
HIM-GL-MELT-000473,2020-06-08,2020,June,Beas Kund Glacier,Pir Panjal,Himachal Pradesh,4012,8.9,0.0,606.7,0.3,11.4,5.14,23.5,-1.15,150.8,20.4,Moderate Risk
HIM-GL-MELT-000474,2020-08-05,2020,August,Drang-Drung Glacier,Zanskar Range,Ladakh,4361,8.2,0.0,734.0,0.28,14.2,3.23,14.4,-1.15,115.5,14.0,Moderate Risk
HIM-GL-MELT-000475,2023-05-04,2023,May,South Lhonak Glacier,North Sikkim Basin,Sikkim,4815,3.4,0.0,810.0,0.18,24.1,1.33,40.2,-1.63,1442.0,15.8,High Risk
HIM-GL-MELT-000476,2025-06-02,2025,June,Drang-Drung Glacier,Zanskar Range,Ladakh,4658,3.8,-0.4,617.9,0.35,10.4,3.57,23.9,-1.18,226.7,13.5,Moderate Risk
HIM-GL-MELT-000477,2026-06-12,2026,June,Zemu Glacier,Kanchenjunga Massif,Sikkim,4529,3.9,0.0,709.2,0.3,11.7,3.14,32.4,-1.48,447.0,17.3,Moderate Risk
HIM-GL-MELT-000478,2020-10-11,2020,October,Machoi Glacier,Great Himalaya,Jammu & Kashmir,4223,4.2,0.0,570.0,0.26,9.2,4.37,26.3,-0.91,139.3,18.6,Moderate Risk
HIM-GL-MELT-000479,2019-05-27,2019,May,Rathong Glacier,West Sikkim,Sikkim,4579,2.5,-0.6,621.6,0.4,2.8,5.0,28.9,-1.24,441.9,24.4,High Risk
HIM-GL-MELT-000480,2018-07-20,2018,July,South Lhonak Glacier,North Sikkim Basin,Sikkim,5580,-1.4,-1.5,558.3,0.37,10.0,0.72,34.2,-1.33,1193.4,14.5,High Risk
HIM-GL-MELT-000481,2025-08-21,2025,August,Bara Shigri Glacier,Chandra-Bhaga Basin,Himachal Pradesh,4852,4.7,-0.1,537.0,0.25,7.5,4.98,27.7,-1.43,525.5,24.5,High Risk
HIM-GL-MELT-000482,2021-08-25,2021,August,Kolhai Glacier,Great Himalaya,Jammu & Kashmir,4519,7.5,0.0,598.5,0.2,16.7,1.7,24.0,-1.55,434.7,8.8,Low Risk / Monitored
HIM-GL-MELT-000483,2018-09-01,2018,September,Chorabari Glacier,Mandakini Basin (Kedarnath),Uttarakhand,4274,6.6,0.0,790.0,0.19,15.5,2.64,26.4,-0.93,664.9,16.9,High Risk
HIM-GL-MELT-000484,2020-08-02,2020,August,South Lhonak Glacier,North Sikkim Basin,Sikkim,4926,6.1,0.0,726.5,0.4,5.5,6.87,35.0,-1.69,1548.3,39.5,High Risk
HIM-GL-MELT-000485,2021-07-02,2021,July,Satopanth Glacier,Alaknanda Basin,Uttarakhand,4873,5.5,0.0,590.6,0.26,12.1,3.52,17.3,-1.02,371.4,14.4,Moderate Risk
HIM-GL-MELT-000486,2026-09-11,2026,September,Drang-Drung Glacier,Zanskar Range,Ladakh,4521,6.0,-0.1,720.5,0.22,18.3,1.74,16.8,-1.25,159.5,7.4,Low Risk / Monitored
HIM-GL-MELT-000487,2023-09-01,2023,September,Beas Kund Glacier,Pir Panjal,Himachal Pradesh,4240,7.5,0.0,890.3,0.18,21.0,2.33,27.1,-1.31,157.3,12.1,Low Risk / Monitored
HIM-GL-MELT-000488,2020-08-23,2020,August,South Lhonak Glacier,North Sikkim Basin,Sikkim,5073,2.1,-0.7,774.1,0.39,5.4,4.95,35.7,-1.39,1473.3,31.9,High Risk
HIM-GL-MELT-000489,2021-08-03,2021,August,South Lhonak Glacier,North Sikkim Basin,Sikkim,5055,6.0,0.0,774.5,0.25,8.4,6.56,36.6,-1.37,1686.8,37.8,High Risk
HIM-GL-MELT-000490,2021-07-06,2021,July,Kangto Glacier,Eastern Himalaya,Arunachal Pradesh,5342,3.6,-0.3,569.6,0.18,19.1,1.32,24.3,-0.93,117.6,5.8,Low Risk / Monitored
HIM-GL-MELT-000491,2018-08-05,2018,August,Zemu Glacier,Kanchenjunga Massif,Sikkim,4538,5.1,0.0,746.8,0.39,3.6,6.89,29.2,-1.09,349.6,28.8,High Risk
HIM-GL-MELT-000492,2019-08-24,2019,August,Satopanth Glacier,Alaknanda Basin,Uttarakhand,4430,9.3,0.0,575.6,0.29,6.1,8.63,16.2,-0.96,394.4,35.8,High Risk
HIM-GL-MELT-000493,2024-05-12,2024,May,Changme Khangpu Glacier,Tista Basin,Sikkim,5025,-1.0,-1.6,1033.7,0.43,1.3,3.06,30.1,-1.66,458.0,15.5,Moderate Risk
HIM-GL-MELT-000494,2019-09-26,2019,September,South Lhonak Glacier,North Sikkim Basin,Sikkim,5026,0.6,-1.1,698.6,0.31,6.2,3.2,36.4,-1.37,1253.4,19.9,High Risk
HIM-GL-MELT-000495,2020-07-02,2020,July,Machoi Glacier,Great Himalaya,Jammu & Kashmir,4143,8.6,0.0,837.4,0.35,6.2,9.38,23.4,-1.22,177.3,35.9,Moderate Risk
HIM-GL-MELT-000496,2021-10-12,2021,October,Chorabari Glacier,Mandakini Basin (Kedarnath),Uttarakhand,4101,6.9,0.0,958.8,0.26,10.9,5.78,28.0,-1.31,814.4,28.7,High Risk
HIM-GL-MELT-000497,2024-07-23,2024,July,Beas Kund Glacier,Pir Panjal,Himachal Pradesh,3897,12.0,0.0,712.4,0.19,19.1,2.49,24.4,-1.4,148.9,11.2,Low Risk / Monitored
HIM-GL-MELT-000498,2023-06-25,2023,June,Changme Khangpu Glacier,Tista Basin,Sikkim,5134,3.4,0.0,886.6,0.33,4.6,6.65,26.6,-1.36,350.1,27.3,High Risk
HIM-GL-MELT-000499,2024-09-17,2024,September,Chorabari Glacier,Mandakini Basin (Kedarnath),Uttarakhand,4386,5.8,0.0,824.1,0.33,1.8,8.0,29.6,-1.51,774.0,35.5,High Risk
HIM-GL-MELT-000500,2023-09-09,2023,September,Beas Kund Glacier,Pir Panjal,Himachal Pradesh,3901,10.0,0.0,564.4,0.32,5.8,9.35,29.3,-1.31,134.5,36.7,Moderate Risk
HIM-GL-MELT-000501,2024-08-19,2024,August,Bara Shigri Glacier,Chandra-Bhaga Basin,Himachal Pradesh,4801,3.3,-0.2,550.0,0.29,16.2,1.33,30.6,-1.49,460.2,9.1,Low Risk / Monitored
HIM-GL-MELT-000502,2018-06-02,2018,June,Pindari Glacier,Kumaon Himalaya,Uttarakhand,3967,10.1,0.0,735.3,0.36,4.2,10.95,20.3,-1.19,133.7,41.2,Moderate Risk
HIM-GL-MELT-000503,2026-10-12,2026,October,Kangto Glacier,Eastern Himalaya,Arunachal Pradesh,5250,-1.4,-1.3,711.3,0.36,4.9,1.93,28.2,-1.11,190.6,11.2,Low Risk / Monitored
HIM-GL-MELT-000504,2019-06-22,2019,June,Changme Khangpu Glacier,Tista Basin,Sikkim,4839,2.5,-0.6,343.9,0.36,4.6,4.1,23.2,-1.11,455.0,17.8,Moderate Risk
HIM-GL-MELT-000505,2022-08-09,2022,August,Milam Glacier,Goriganga Basin,Uttarakhand,4504,6.0,0.0,720.4,0.39,2.0,7.66,21.5,-1.03,327.0,30.1,High Risk
HIM-GL-MELT-000506,2024-09-28,2024,September,Zemu Glacier,Kanchenjunga Massif,Sikkim,4573,5.9,0.0,763.6,0.33,4.9,7.95,34.3,-1.55,382.5,34.2,High Risk
HIM-GL-MELT-000507,2022-07-28,2022,July,Gorichen Glacier,Kameng Basin,Arunachal Pradesh,5146,2.8,-0.1,664.9,0.36,4.7,4.63,31.6,-1.31,112.7,16.8,Moderate Risk
HIM-GL-MELT-000508,2026-05-29,2026,May,Kolhai Glacier,Great Himalaya,Jammu & Kashmir,3967,8.1,0.0,550.1,0.25,20.7,1.68,25.1,-1.37,402.0,7.3,Low Risk / Monitored
HIM-GL-MELT-000509,2022-10-15,2022,October,Drang-Drung Glacier,Zanskar Range,Ladakh,4972,0.2,-0.2,1005.2,0.23,3.8,5.74,16.7,-1.2,89.2,24.5,Moderate Risk
HIM-GL-MELT-000510,2025-06-20,2025,June,Chorabari Glacier,Mandakini Basin (Kedarnath),Uttarakhand,4420,8.5,0.0,729.1,0.43,2.5,9.34,28.1,-1.38,1002.2,41.9,High Risk
HIM-GL-MELT-000511,2025-06-19,2025,June,Kangto Glacier,Eastern Himalaya,Arunachal Pradesh,5168,1.9,0.0,552.0,0.39,11.1,2.43,25.7,-1.21,158.8,10.7,Low Risk / Monitored
HIM-GL-MELT-000512,2026-08-19,2026,August,Gorichen Glacier,Kameng Basin,Arunachal Pradesh,5121,3.7,0.0,618.0,0.29,11.0,2.97,28.9,-1.32,165.5,13.9,Moderate Risk
HIM-GL-MELT-000513,2026-06-05,2026,June,Machoi Glacier,Great Himalaya,Jammu & Kashmir,4335,7.4,0.0,674.0,0.37,9.3,6.42,24.9,-1.02,117.4,26.3,Moderate Risk
HIM-GL-MELT-000514,2025-08-17,2025,August,Gorichen Glacier,Kameng Basin,Arunachal Pradesh,5258,-1.3,-1.5,695.0,0.33,7.2,1.48,36.5,-1.62,165.0,6.2,Low Risk / Monitored
HIM-GL-MELT-000515,2024-06-28,2024,June,Zemu Glacier,Kanchenjunga Massif,Sikkim,4090,7.9,0.0,613.2,0.45,1.8,7.83,29.2,-1.3,377.8,34.0,High Risk
HIM-GL-MELT-000516,2021-09-23,2021,September,Bara Shigri Glacier,Chandra-Bhaga Basin,Himachal Pradesh,4654,2.6,0.0,682.4,0.28,11.5,2.42,26.4,-1.11,467.3,12.0,Low Risk / Monitored
HIM-GL-MELT-000517,2019-05-20,2019,May,Satopanth Glacier,Alaknanda Basin,Uttarakhand,5010,1.9,-0.8,682.0,0.46,1.6,3.76,14.6,-0.58,268.9,17.5,Moderate Risk
HIM-GL-MELT-000518,2024-09-09,2024,September,Gorichen Glacier,Kameng Basin,Arunachal Pradesh,5243,1.0,-0.8,672.6,0.26,12.3,1.79,25.7,-1.15,141.1,8.3,Low Risk / Monitored
HIM-GL-MELT-000519,2026-09-23,2026,September,Gangotri Glacier,Bhagirathi Basin / Garhwal,Uttarakhand,3931,8.4,0.0,536.4,0.19,12.8,4.44,29.3,-1.09,494.3,21.5,Moderate Risk
HIM-GL-MELT-000520,2024-08-31,2024,August,Bara Shigri Glacier,Chandra-Bhaga Basin,Himachal Pradesh,4406,6.2,0.0,753.0,0.3,3.6,9.0,30.5,-1.47,451.2,35.5,High Risk
HIM-GL-MELT-000521,2026-10-15,2026,October,Pindari Glacier,Kumaon Himalaya,Uttarakhand,4238,2.5,-1.1,557.9,0.35,2.5,4.96,26.4,-1.5,154.8,18.6,Moderate Risk
HIM-GL-MELT-000522,2024-04-30,2024,April,Kolhai Glacier,Great Himalaya,Jammu & Kashmir,4420,1.3,-1.0,688.9,0.36,17.2,0.51,27.2,-1.34,378.4,5.1,Low Risk / Monitored
HIM-GL-MELT-000523,2019-05-19,2019,May,Drang-Drung Glacier,Zanskar Range,Ladakh,4643,1.8,-1.0,646.6,0.31,5.4,4.09,12.3,-0.74,120.4,17.1,Moderate Risk
HIM-GL-MELT-000524,2020-07-25,2020,July,Dokriani Glacier,Bhagirathi Basin,Uttarakhand,4413,6.1,0.0,706.9,0.24,21.7,2.08,20.9,-0.98,141.1,10.9,Low Risk / Monitored
HIM-GL-MELT-000525,2021-10-01,2021,October,Dokriani Glacier,Bhagirathi Basin,Uttarakhand,4672,3.9,0.0,788.4,0.32,9.3,4.89,20.8,-0.81,138.3,20.5,Moderate Risk
HIM-GL-MELT-000526,2019-05-29,2019,May,Rathong Glacier,West Sikkim,Sikkim,4898,3.6,-0.5,693.9,0.35,12.0,3.25,35.9,-1.55,281.7,17.8,Moderate Risk
HIM-GL-MELT-000527,2023-06-28,2023,June,Milam Glacier,Goriganga Basin,Uttarakhand,4376,8.0,0.0,669.3,0.35,6.0,7.98,28.6,-1.09,523.5,35.4,High Risk
HIM-GL-MELT-000528,2026-07-02,2026,July,Chorabari Glacier,Mandakini Basin (Kedarnath),Uttarakhand,4603,5.5,0.0,645.2,0.29,3.3,7.91,30.7,-1.55,935.1,36.3,High Risk
HIM-GL-MELT-000529,2024-08-05,2024,August,Beas Kund Glacier,Pir Panjal,Himachal Pradesh,4014,6.9,0.0,670.0,0.33,7.0,7.21,21.7,-1.21,136.1,29.3,Moderate Risk
HIM-GL-MELT-000530,2022-06-17,2022,June,Gangotri Glacier,Bhagirathi Basin / Garhwal,Uttarakhand,4239,11.8,0.0,755.1,0.34,3.4,12.86,20.3,-1.07,455.0,51.0,High Risk
HIM-GL-MELT-000531,2018-07-01,2018,July,Chorabari Glacier,Mandakini Basin (Kedarnath),Uttarakhand,4253,9.6,0.0,651.2,0.38,2.1,10.18,23.8,-0.85,813.6,45.3,Very High (Critical Alert)
HIM-GL-MELT-000532,2021-05-18,2021,May,South Lhonak Glacier,North Sikkim Basin,Sikkim,5141,-1.8,-1.2,781.5,0.45,2.0,1.63,39.4,-1.67,1682.0,18.7,High Risk
HIM-GL-MELT-000533,2023-05-27,2023,May,Chhota Shigri Glacier,Pir Panjal / Chandra Basin,Himachal Pradesh,5073,1.2,-1.1,639.2,0.39,0.9,2.98,14.6,-1.23,501.1,14.3,Moderate Risk
HIM-GL-MELT-000534,2021-05-06,2021,May,Bara Shigri Glacier,Chandra-Bhaga Basin,Himachal Pradesh,4933,2.8,0.0,630.9,0.24,17.3,0.39,25.1,-1.16,283.4,2.5,Low Risk / Monitored
HIM-GL-MELT-000535,2019-05-06,2019,May,Pindari Glacier,Kumaon Himalaya,Uttarakhand,3960,7.2,0.0,608.3,0.4,3.1,8.23,31.3,-1.16,146.2,32.3,Moderate Risk
HIM-GL-MELT-000536,2022-05-31,2022,May,Satopanth Glacier,Alaknanda Basin,Uttarakhand,4570,5.6,0.0,583.2,0.39,1.1,5.92,21.2,-0.83,565.2,25.5,High Risk
HIM-GL-MELT-000537,2020-08-12,2020,August,Gepang Gath Glacier,Lahaul & Spiti,Himachal Pradesh,4526,7.0,0.0,576.0,0.33,6.5,6.9,28.9,-1.19,635.6,31.5,High Risk
HIM-GL-MELT-000538,2025-08-02,2025,August,Gangotri Glacier,Bhagirathi Basin / Garhwal,Uttarakhand,4041,10.7,0.0,525.6,0.28,15.3,3.57,26.1,-1.12,498.3,16.5,Moderate Risk
HIM-GL-MELT-000539,2019-06-25,2019,June,Beas Kund Glacier,Pir Panjal,Himachal Pradesh,4081,10.1,0.0,668.1,0.26,20.4,2.09,16.3,-0.88,107.7,9.1,Low Risk / Monitored
HIM-GL-MELT-000540,2018-05-18,2018,May,Rathong Glacier,West Sikkim,Sikkim,4393,4.2,0.0,652.9,0.37,9.7,3.86,19.2,-0.66,332.4,15.5,Moderate Risk
HIM-GL-MELT-000541,2018-07-26,2018,July,Parkachik Glacier,Zanskar Range,Ladakh,4467,7.9,0.0,745.8,0.23,14.3,3.25,15.6,-0.8,73.2,14.9,Moderate Risk
HIM-GL-MELT-000542,2021-05-23,2021,May,Kolhai Glacier,Great Himalaya,Jammu & Kashmir,4546,3.4,0.0,593.4,0.45,1.9,4.86,25.3,-1.23,390.8,22.6,High Risk
HIM-GL-MELT-000543,2024-10-10,2024,October,Kolhai Glacier,Great Himalaya,Jammu & Kashmir,4215,5.4,0.0,666.3,0.33,3.2,8.13,23.9,-1.07,388.9,36.1,High Risk
HIM-GL-MELT-000544,2024-05-24,2024,May,Chhota Shigri Glacier,Pir Panjal / Chandra Basin,Himachal Pradesh,4861,4.8,0.0,623.8,0.4,3.5,6.79,20.9,-1.39,466.7,28.5,High Risk
HIM-GL-MELT-000545,2022-05-07,2022,May,Changme Khangpu Glacier,Tista Basin,Sikkim,4734,4.6,-0.3,648.4,0.24,19.2,1.22,22.1,-1.05,412.2,7.1,Low Risk / Monitored
HIM-GL-MELT-000546,2024-09-24,2024,September,Gepang Gath Glacier,Lahaul & Spiti,Himachal Pradesh,4695,2.6,0.0,635.8,0.38,3.9,5.12,37.2,-1.44,792.6,24.3,High Risk
HIM-GL-MELT-000547,2021-09-10,2021,September,Zemu Glacier,Kanchenjunga Massif,Sikkim,4241,9.2,0.0,665.5,0.3,5.9,9.48,32.5,-1.27,418.7,39.6,High Risk
HIM-GL-MELT-000548,2024-05-17,2024,May,Satopanth Glacier,Alaknanda Basin,Uttarakhand,4654,3.7,-0.3,738.2,0.33,6.5,5.42,24.6,-1.2,484.8,24.4,High Risk
HIM-GL-MELT-000549,2018-08-14,2018,August,Siachen Glacier,Karakoram,Ladakh,5430,-0.2,-1.8,643.5,0.35,4.9,3.29,13.8,-0.73,31.6,12.2,Low Risk / Monitored
HIM-GL-MELT-000550,2022-06-02,2022,June,Kangto Glacier,Eastern Himalaya,Arunachal Pradesh,5366,1.3,-0.1,649.0,0.28,14.5,1.92,31.9,-1.29,134.3,8.0,Low Risk / Monitored
HIM-GL-MELT-000551,2024-07-17,2024,July,South Lhonak Glacier,North Sikkim Basin,Sikkim,5248,6.5,0.0,674.8,0.25,19.3,1.49,38.0,-1.49,1320.2,16.0,High Risk
HIM-GL-MELT-000552,2024-06-03,2024,June,Bara Shigri Glacier,Chandra-Bhaga Basin,Himachal Pradesh,4451,7.7,0.0,492.9,0.45,4.2,7.92,25.1,-1.27,442.4,33.9,High Risk
HIM-GL-MELT-000553,2024-08-17,2024,August,Satopanth Glacier,Alaknanda Basin,Uttarakhand,4641,6.3,0.0,672.8,0.35,3.9,8.24,22.9,-1.11,401.2,33.3,High Risk
HIM-GL-MELT-000554,2020-07-03,2020,July,Machoi Glacier,Great Himalaya,Jammu & Kashmir,4127,11.5,0.0,758.6,0.29,8.9,8.63,22.6,-1.11,107.2,31.8,Moderate Risk
HIM-GL-MELT-000555,2020-07-01,2020,July,Machoi Glacier,Great Himalaya,Jammu & Kashmir,4192,9.5,0.0,789.2,0.34,8.8,7.42,23.2,-0.92,107.9,28.7,Moderate Risk
HIM-GL-MELT-000556,2026-07-11,2026,July,Chhota Shigri Glacier,Pir Panjal / Chandra Basin,Himachal Pradesh,4946,1.8,-0.2,461.3,0.39,2.6,3.62,25.9,-1.31,417.2,17.4,Moderate Risk
HIM-GL-MELT-000557,2019-06-10,2019,June,Changme Khangpu Glacier,Tista Basin,Sikkim,4800,5.5,0.0,762.7,0.42,0.3,5.6,24.6,-1.11,500.8,27.1,High Risk
HIM-GL-MELT-000558,2020-09-04,2020,September,Chorabari Glacier,Mandakini Basin (Kedarnath),Uttarakhand,4239,7.6,0.0,876.3,0.26,9.5,6.87,34.1,-1.32,720.5,33.5,High Risk
HIM-GL-MELT-000559,2019-08-16,2019,August,Bara Shigri Glacier,Chandra-Bhaga Basin,Himachal Pradesh,4654,5.9,0.0,659.5,0.27,10.2,4.77,23.7,-1.12,407.6,21.6,High Risk
HIM-GL-MELT-000560,2021-08-12,2021,August,Gangotri Glacier,Bhagirathi Basin / Garhwal,Uttarakhand,4429,3.4,0.0,503.2,0.32,4.0,5.25,24.2,-1.02,291.5,20.3,High Risk
HIM-GL-MELT-000561,2020-10-04,2020,October,Changme Khangpu Glacier,Tista Basin,Sikkim,4843,2.5,0.0,570.2,0.24,5.8,3.97,23.7,-1.12,409.4,18.3,Moderate Risk
HIM-GL-MELT-000562,2022-06-07,2022,June,Bara Shigri Glacier,Chandra-Bhaga Basin,Himachal Pradesh,4575,3.5,0.0,778.6,0.39,10.2,3.65,28.8,-1.64,406.2,19.4,Moderate Risk
HIM-GL-MELT-000563,2022-06-04,2022,June,Drang-Drung Glacier,Zanskar Range,Ladakh,4595,3.1,0.0,770.7,0.2,21.4,1.42,14.9,-0.96,143.6,7.3,Low Risk / Monitored
HIM-GL-MELT-000564,2025-09-13,2025,September,Satopanth Glacier,Alaknanda Basin,Uttarakhand,4562,3.6,-0.3,611.6,0.25,20.6,1.51,27.6,-1.36,388.2,7.7,Low Risk / Monitored
HIM-GL-MELT-000565,2018-08-10,2018,August,Satopanth Glacier,Alaknanda Basin,Uttarakhand,4583,3.6,0.0,726.4,0.37,2.4,5.43,24.0,-0.83,208.4,22.7,High Risk
HIM-GL-MELT-000566,2021-07-07,2021,July,Rathong Glacier,West Sikkim,Sikkim,4606,6.6,0.0,689.2,0.38,3.1,7.98,33.5,-1.58,394.6,34.5,High Risk
HIM-GL-MELT-000567,2023-06-06,2023,June,Kangto Glacier,Eastern Himalaya,Arunachal Pradesh,5535,2.1,-0.4,719.7,0.4,7.6,3.41,31.3,-1.47,107.9,14.3,Moderate Risk
HIM-GL-MELT-000568,2023-07-24,2023,July,Gepang Gath Glacier,Lahaul & Spiti,Himachal Pradesh,4177,9.7,0.0,514.7,0.34,5.1,9.48,32.3,-1.28,591.9,41.6,Very High (Critical Alert)
HIM-GL-MELT-000569,2022-09-18,2022,September,Beas Kund Glacier,Pir Panjal,Himachal Pradesh,4257,9.0,0.0,693.4,0.3,9.5,6.8,22.8,-1.15,197.0,26.3,Moderate Risk
HIM-GL-MELT-000570,2025-05-29,2025,May,Bara Shigri Glacier,Chandra-Bhaga Basin,Himachal Pradesh,4522,6.1,0.0,957.2,0.47,3.6,7.95,30.3,-1.59,390.8,32.6,High Risk
HIM-GL-MELT-000571,2018-06-10,2018,June,Siachen Glacier,Karakoram,Ladakh,4948,4.9,-0.4,689.9,0.37,9.1,5.26,10.6,-0.58,15.1,19.6,Low Risk / Monitored
HIM-GL-MELT-000572,2025-06-25,2025,June,Drang-Drung Glacier,Zanskar Range,Ladakh,4886,6.4,0.0,634.6,0.38,12.4,3.13,20.4,-1.26,183.6,14.7,Moderate Risk
HIM-GL-MELT-000573,2022-05-16,2022,May,Satopanth Glacier,Alaknanda Basin,Uttarakhand,4417,6.6,0.0,839.4,0.34,9.4,6.09,20.5,-0.89,324.3,23.4,High Risk
HIM-GL-MELT-000574,2019-09-17,2019,September,South Lhonak Glacier,North Sikkim Basin,Sikkim,5306,-2.0,-2.2,678.4,0.27,7.4,1.24,32.4,-1.28,1358.7,14.5,High Risk
HIM-GL-MELT-000575,2025-07-05,2025,July,Siachen Glacier,Karakoram,Ladakh,5433,2.6,-0.9,774.5,0.32,6.1,5.15,11.7,-0.81,40.5,21.1,Low Risk / Monitored
HIM-GL-MELT-000576,2023-09-24,2023,September,Chhota Shigri Glacier,Pir Panjal / Chandra Basin,Himachal Pradesh,5057,-0.2,-0.3,544.1,0.26,13.6,1.06,18.3,-0.89,407.9,5.0,Low Risk / Monitored
HIM-GL-MELT-000577,2019-10-05,2019,October,Gorichen Glacier,Kameng Basin,Arunachal Pradesh,5248,-0.5,-0.6,754.9,0.28,6.3,3.46,23.6,-1.03,151.8,13.0,Moderate Risk
HIM-GL-MELT-000578,2018-09-21,2018,September,Chhota Shigri Glacier,Pir Panjal / Chandra Basin,Himachal Pradesh,4876,0.8,-1.4,719.6,0.23,22.8,0.94,20.8,-1.05,226.2,4.2,Low Risk / Monitored
HIM-GL-MELT-000579,2019-09-18,2019,September,Chorabari Glacier,Mandakini Basin (Kedarnath),Uttarakhand,4245,5.6,0.0,523.9,0.27,3.4,6.89,25.2,-0.94,663.9,29.7,High Risk
HIM-GL-MELT-000580,2023-07-08,2023,July,Satopanth Glacier,Alaknanda Basin,Uttarakhand,4584,6.7,0.0,766.5,0.32,2.2,8.32,16.9,-0.94,357.2,33.8,High Risk
HIM-GL-MELT-000581,2020-05-22,2020,May,Satopanth Glacier,Alaknanda Basin,Uttarakhand,4627,2.6,-0.6,678.0,0.31,8.6,3.51,16.0,-0.9,301.0,15.7,Moderate Risk
HIM-GL-MELT-000582,2020-10-05,2020,October,Milam Glacier,Goriganga Basin,Uttarakhand,4229,5.3,-0.0,558.2,0.33,0.1,4.73,21.1,-0.89,252.8,20.9,High Risk
HIM-GL-MELT-000583,2018-06-22,2018,June,Gorichen Glacier,Kameng Basin,Arunachal Pradesh,5095,6.1,0.0,713.5,0.46,3.2,8.34,20.6,-0.92,51.6,33.2,Moderate Risk
HIM-GL-MELT-000584,2024-08-27,2024,August,Zemu Glacier,Kanchenjunga Massif,Sikkim,4878,5.1,0.0,734.3,0.3,14.1,2.34,37.2,-1.61,412.8,11.9,Low Risk / Monitored
HIM-GL-MELT-000585,2025-09-22,2025,September,Gorichen Glacier,Kameng Basin,Arunachal Pradesh,5006,6.9,0.0,698.0,0.33,4.6,8.06,27.6,-1.2,119.4,31.1,Moderate Risk
HIM-GL-MELT-000586,2024-09-04,2024,September,Dokriani Glacier,Bhagirathi Basin,Uttarakhand,4452,4.9,-0.5,719.3,0.27,12.0,3.47,19.4,-1.19,110.1,15.5,Moderate Risk
HIM-GL-MELT-000587,2019-06-18,2019,June,Kolhai Glacier,Great Himalaya,Jammu & Kashmir,3887,11.2,0.0,736.9,0.28,8.4,9.31,21.4,-1.07,373.8,36.5,High Risk
HIM-GL-MELT-000588,2025-10-01,2025,October,Machoi Glacier,Great Himalaya,Jammu & Kashmir,3790,9.5,0.0,691.8,0.15,19.1,2.08,22.5,-1.08,115.1,7.4,Low Risk / Monitored
HIM-GL-MELT-000589,2024-05-12,2024,May,Drang-Drung Glacier,Zanskar Range,Ladakh,4612,4.1,-0.0,777.8,0.36,9.7,4.09,23.1,-0.99,155.3,16.9,Moderate Risk
HIM-GL-MELT-000590,2025-08-16,2025,August,Changme Khangpu Glacier,Tista Basin,Sikkim,4907,5.3,0.0,721.5,0.22,13.1,3.43,28.9,-1.34,496.9,17.5,Moderate Risk
HIM-GL-MELT-000591,2022-10-13,2022,October,Kangto Glacier,Eastern Himalaya,Arunachal Pradesh,5362,-2.0,-1.2,736.0,0.3,15.0,0.69,29.4,-1.65,129.2,3.1,Low Risk / Monitored
HIM-GL-MELT-000592,2022-09-27,2022,September,Rathong Glacier,West Sikkim,Sikkim,4495,1.6,-1.3,687.9,0.28,10.5,3.12,28.6,-1.53,281.4,13.5,Moderate Risk
HIM-GL-MELT-000593,2024-07-23,2024,July,Milam Glacier,Goriganga Basin,Uttarakhand,4141,8.7,0.0,543.2,0.42,1.9,8.49,31.9,-1.49,385.9,34.7,High Risk
HIM-GL-MELT-000594,2019-10-04,2019,October,Beas Kund Glacier,Pir Panjal,Himachal Pradesh,4107,5.4,0.0,582.8,0.2,9.5,4.53,22.0,-1.33,117.4,20.6,Moderate Risk
HIM-GL-MELT-000595,2023-06-14,2023,June,South Lhonak Glacier,North Sikkim Basin,Sikkim,4992,4.9,0.0,760.2,0.36,8.6,5.35,40.8,-1.73,1613.3,35.0,High Risk
HIM-GL-MELT-000596,2025-10-14,2025,October,Pindari Glacier,Kumaon Himalaya,Uttarakhand,4286,4.9,-0.3,765.3,0.24,13.2,2.98,33.7,-1.44,186.2,12.8,Moderate Risk
HIM-GL-MELT-000597,2025-07-21,2025,July,Milam Glacier,Goriganga Basin,Uttarakhand,4405,8.9,0.0,643.0,0.32,2.7,10.41,29.1,-1.23,337.0,41.4,High Risk
HIM-GL-MELT-000598,2026-07-07,2026,July,Siachen Glacier,Karakoram,Ladakh,5161,2.6,-0.4,763.0,0.33,4.4,5.63,20.4,-1.12,25.8,22.6,Low Risk / Monitored
